w1,w2,w3,d1,d2,d3,scenario_number
0.0,16.0,26.0,7,119,189,299
0.0,16.0,27.0,7,119,196,300
0.0,16.0,28.0,7,119,203,301
0.0,16.0,29.0,7,119,210,302
0.0,16.0,30.0,7,119,217,303
0.0,16.0,31.0,7,119,224,304
0.0,16.0,32.0,7,119,231,305
0.0,16.0,33.0,7,119,238,306
0.0,16.0,34.0,7,119,245,307
0.0,16.0,35.0,7,119,252,308
0.0,16.0,36.0,7,119,259,309
0.0,16.0,37.0,7,119,266,310
0.0,16.0,38.0,7,119,273,311
0.0,16.0,39.0,7,119,280,312
0.0,16.0,40.0,7,119,287,313
0.0,16.0,41.0,7,119,294,314
0.0,16.0,42.0,7,119,301,315
0.0,16.0,43.0,7,119,308,316
0.0,16.0,44.0,7,119,315,317
0.0,16.0,45.0,7,119,322,318
0.0,17.0,23.0,7,126,168,319
0.0,17.0,24.0,7,126,175,320
0.0,17.0,25.0,7,126,182,321
0.0,17.0,26.0,7,126,189,322
0.0,17.0,27.0,7,126,196,323
0.0,17.0,28.0,7,126,203,324
0.0,17.0,29.0,7,126,210,325
0.0,17.0,30.0,7,126,217,326
0.0,17.0,31.0,7,126,224,327
0.0,17.0,32.0,7,126,231,328
0.0,17.0,33.0,7,126,238,329
0.0,17.0,34.0,7,126,245,330
0.0,17.0,35.0,7,126,252,331
0.0,17.0,36.0,7,126,259,332
0.0,17.0,37.0,7,126,266,333
0.0,17.0,38.0,7,126,273,334
0.0,17.0,39.0,7,126,280,335
0.0,17.0,40.0,7,126,287,336
0.0,17.0,41.0,7,126,294,337
0.0,17.0,42.0,7,126,301,338
0.0,17.0,43.0,7,126,308,339
0.0,17.0,44.0,7,126,315,340
0.0,17.0,45.0,7,126,322,341
0.0,18.0,24.0,7,133,175,342
0.0,18.0,25.0,7,133,182,343
0.0,18.0,26.0,7,133,189,344
0.0,18.0,27.0,7,133,196,345
0.0,18.0,28.0,7,133,203,346
0.0,18.0,29.0,7,133,210,347
0.0,18.0,30.0,7,133,217,348
0.0,18.0,31.0,7,133,224,349
0.0,18.0,32.0,7,133,231,350
0.0,18.0,33.0,7,133,238,351
0.0,18.0,34.0,7,133,245,352
0.0,18.0,35.0,7,133,252,353
0.0,18.0,36.0,7,133,259,354
0.0,18.0,37.0,7,133,266,355
0.0,18.0,38.0,7,133,273,356
0.0,18.0,39.0,7,133,280,357
0.0,18.0,40.0,7,133,287,358
0.0,18.0,41.0,7,133,294,359
0.0,18.0,42.0,7,133,301,360
0.0,18.0,43.0,7,133,308,361
0.0,18.0,44.0,7,133,315,362
0.0,18.0,45.0,7,133,322,363
0.0,19.0,25.0,7,140,182,364
0.0,19.0,26.0,7,140,189,365
0.0,19.0,27.0,7,140,196,366
0.0,19.0,28.0,7,140,203,367
0.0,19.0,29.0,7,140,210,368
0.0,19.0,30.0,7,140,217,369
0.0,19.0,31.0,7,140,224,370
0.0,19.0,32.0,7,140,231,371
0.0,19.0,33.0,7,140,238,372
0.0,19.0,34.0,7,140,245,373
0.0,19.0,35.0,7,140,252,374
0.0,19.0,36.0,7,140,259,375
0.0,19.0,37.0,7,140,266,376
0.0,19.0,38.0,7,140,273,377
0.0,19.0,39.0,7,140,280,378
0.0,19.0,40.0,7,140,287,379
0.0,19.0,41.0,7,140,294,380
0.0,19.0,42.0,7,140,301,381
0.0,19.0,43.0,7,140,308,382
0.0,19.0,44.0,7,140,315,383
0.0,19.0,45.0,7,140,322,384
0.0,20.0,26.0,7,147,189,385
0.0,20.0,27.0,7,147,196,386
0.0,20.0,28.0,7,147,203,387
0.0,20.0,29.0,7,147,210,388
0.0,20.0,30.0,7,147,217,389
0.0,20.0,31.0,7,147,224,390
0.0,20.0,32.0,7,147,231,391
0.0,20.0,33.0,7,147,238,392
0.0,20.0,34.0,7,147,245,393
0.0,20.0,35.0,7,147,252,394
0.0,20.0,36.0,7,147,259,395
0.0,20.0,37.0,7,147,266,396
0.0,20.0,38.0,7,147,273,397
0.0,20.0,39.0,7,147,280,398
0.0,20.0,40.0,7,147,287,399
0.0,20.0,41.0,7,147,294,400
0.0,20.0,42.0,7,147,301,401
