iptsc_rdts_used,iptsc_drugs_used,cases_treated,severe_cases_treated,received_smc,received_ivermectin,received_primaquine,pfpr0_5,pfpr2_10,pfpr6_15,pfpr16_500,pfpr_all,clinical_incidence0_5,clinical_incidence2_10,clinical_incidence6_15,clinical_incidence16_500,clinical_incidence_all,severe_incidence0_5,severe_incidence2_10,severe_incidence6_15,severe_incidence16_500,severe_incidence_all,pop0_5,pop2_10,pop6_15,pop16_500,pop_all,avg_age,avg_age_clinical_cases,avg_age_severe_cases,sim_id,archetype,baseline_eir,Run_Number,scenario_number
0,5908,4400,0,6254,0,0,0.25886129362829224,0.33562925517660713,0.36705616032490823,0.20347138013514823,0.25179886028292175,2.8471276396435834,2.199054838834427,1.2853885154164266,0.19057877107015034,0.9344648871569373,0.011001266182354644,0.001657787290550125,0.0,0.0,0.002023527298481268,908.9863013698999,1206.4273972602,1152.18082191765,2880.698630137015,4941.865753424565,28.83420659159906,10.066777979973319,2.1281793552087254,74e3ea48-a9d0-ec11-a9f8-b88303911bc1,Sahel,100,0,0
0,5914,4312,0,6249,0,0,0.24562335177932107,0.3269027739999101,0.36523155411310837,0.20478537254187892,0.24972194210256793,2.7489152518222015,2.148870235653782,1.2151950191037468,0.19457894216680707,0.9048140657344734,0.004405312908576579,0.0008413743980747493,0.0008742410105901664,0.0,0.0010184759841470844,907.9945205480999,1188.5315068495,1143.8493150685201,2857.4520547945162,4909.2958904111365,28.849248811172554,9.968103432233328,2.8406428543061297,75e3ea48-a9d0-ec11-a9f8-b88303911bc1,Sahel,100,1,0
0,5877,4506,0,6450,0,0,0.24430706032773006,0.33143297591409426,0.36915887850467594,0.20644512061350812,0.25119904242543484,2.759528680755168,2.214068421484704,1.2678465308183589,0.19078777857217552,0.9252691302773153,0.01601893562871941,0.0033294261919971945,0.0,0.0,0.0030283737195734533,936.3917808218999,1201.4082191779999,1144.46027397253,2872.301369863047,4953.1534246574765,28.641082116775895,9.59886856606291,2.072973343746517,76e3ea48-a9d0-ec11-a9f8-b88303911bc1,Sahel,100,2,0
0,5904,4611,0,6326,0,0,0.25589890680807864,0.33442064857586323,0.3686267946587588,0.20495007091928152,0.25236142468782186,2.8137364205120727,2.150644455831468,1.2365781535386449,0.19353349053518967,0.9195164182446834,0.017558417460641233,0.005030747234517346,0.0,0.0,0.00324201466849546,911.2438356165001,1192.6657534244998,1145.90410958889,2878.054794520539,4935.202739725929,28.81143853856214,9.910894698298302,2.9178010645070005,77e3ea48-a9d0-ec11-a9f8-b88303911bc1,Sahel,100,3,0
0,5916,4411,0,6229,0,0,0.2502501591922117,0.3285622138236752,0.364040553660473,0.2062888251628685,0.25105523614450725,2.762485208757136,2.211779551153995,1.2918467831900162,0.20264275682194124,0.9232161888197101,0.009960884153905773,0.0016580056424356185,0.0,0.0,0.0018165600518904878,903.5342465754,1206.2684931506,1154.1616438354902,2896.7232876712346,4954.419178082125,28.810695087214455,9.935674423339393,2.1880953571874358,78e3ea48-a9d0-ec11-a9f8-b88303911bc1,Sahel,100,4,0
0,5950,2675,0,7038,0,0,0.07389457053184396,0.1289129258136859,0.1934476977860394,0.16354747682467224,0.15229502096413203,0.8192374639466083,1.0539062207590169,1.2749914118211012,0.5646888235233157,0.7805894610359193,0.0,0.0007777905691711409,0.0017068157775760567,0.0,0.00039483533074319256,1026.5643835617,1285.6931506848,1171.7726027395,2867.0657534246734,5065.402739725874,27.73859791267371,23.052430693864935,11.223624210222823,20e064f2-a8d0-ec11-a9f8-b88303911bc1,Sahel,3,0,0
0,5988,2437,0,6950,0,0,0.07355091976238026,0.12012982169761664,0.18159552626400075,0.15607910011884146,0.14559445246863537,0.8431496919377871,1.0282807563676097,1.2079180860001324,0.5416721518041699,0.7559874888913068,0.0,0.0007778220651824223,0.0008554660871811015,0.0,0.0001982658013688558,1002.1945205478002,1285.6410958903,1168.9534246576002,2872.5863013698577,5043.734246575258,27.94843188048897,24.80505586831643,10.000000000000002,21e064f2-a8d0-ec11-a9f8-b88303911bc1,Sahel,3,1,0
0,5993,2639,0,6860,0,0,0.07438607099176482,0.12020351012205892,0.1791589688432324,0.15561876295617688,0.14514954911590372,0.7634157258773182,0.9862545169416502,1.22259209528758,0.5413449221038992,0.74353650365627,0.0020063488124974706,0.0023407939055781076,0.0016921689850627278,0.0,0.0007878532411096734,996.8356164384,1281.6164383562,1181.9150684932,2898.336986301358,5077.087671232959,27.913179651584837,23.087103017036778,9.92109364476573,22e064f2-a8d0-ec11-a9f8-b88303911bc1,Sahel,3,2,0
0,6010,2616,0,6866,0,0,0.07931086720009796,0.12849127182043832,0.19070627955351538,0.16592850635695786,0.15454924204259796,0.9168606227457498,1.0946233543498325,1.2425983889222132,0.5719692027924209,0.7957231968617101,0.006031977849129518,0.001569352505753759,0.0,0.0006970983315031388,0.0015902537142759173,994.6986301369999,1274.4109589041,1166.9095890410001,2869.0356164383097,5030.643835616309,27.96550837742411,22.20769592379692,9.61353900117057,23e064f2-a8d0-ec11-a9f8-b88303911bc1,Sahel,3,3,0
0,5963,2565,0,7066,0,0,0.0700389523169926,0.12100142048483536,0.1821522762621813,0.15737381914268403,0.1455356471511642,0.7853995904370684,1.001143206652458,1.229039325576209,0.5529648393526022,0.7566023069780423,0.0019610476946099282,0.0023354818459256003,0.0008511352770411,0.0006968681023486105,0.0009872159616301772,1019.8630136987,1284.5315068493,1174.9013698629,2869.9835616438127,5064.747945205415,27.761475100790815,22.30943612505665,17.18173821176103,24e064f2-a8d0-ec11-a9f8-b88303911bc1,Sahel,3,4,0
0,5986,3795,0,6365,0,0,0.1749064631432047,0.2533156321419125,0.3127632228899458,0.19132100826017712,0.21715248266653905,1.9831156172937083,1.7919337878367962,1.3398352295399363,0.29329814653578423,0.8577940258307114,0.0065341535152920165,0.0016260742304035375,0.0,0.0,0.0012199014166411747,918.2520547946001,1229.9561643837,1170.29315068487,2829.884931506845,4918.430136986316,28.361770962669087,12.870592759345787,2.05845902742493,26af0b30-a9d0-ec11-a9f8-b88303911bc1,Sahel,30,0,0
0,5891,3793,0,6271,0,0,0.17782200352491023,0.2607333764597668,0.31994931174707913,0.1918979345177615,0.2191681352756141,2.023796180889575,1.8483424923664669,1.343167095293571,0.28611311582710847,0.8608567408397144,0.00647614773602917,0.004970889682875963,0.0017421103766131337,0.0,0.0016284828442342783,926.4767123288001,1207.0273972603002,1148.0328767123801,2838.038356164355,4912.547945205536,28.468558011912013,13.084068123071658,4.959470891447946,27af0b30-a9d0-ec11-a9f8-b88303911bc1,Sahel,30,1,0
0,5919,3803,0,6276,0,0,0.1786445001329129,0.25777193057292674,0.3190786818779612,0.19604887322010753,0.221744325237083,2.021242574539304,1.8740977356853312,1.414023443070986,0.2999943927431679,0.8840324588761267,0.010902063495096362,0.004097284057428535,0.0008664359560917683,0.0,0.0022427022610649453,917.2575342466,1220.3205479453,1154.15342465762,2833.386301369832,4904.797260274055,28.515735503009918,13.494331622275503,3.2369651947918054,28af0b30-a9d0-ec11-a9f8-b88303911bc1,Sahel,30,2,0
0,5904,3793,0,6375,0,0,0.17445832679048398,0.2582976020327141,0.3216305733705389,0.191647088164878,0.21877755234875973,1.9195215683329594,1.8324939187359581,1.3777645231612727,0.29966025215388853,0.8578912190399829,0.006488523764621982,0.0016561174273450636,0.0,0.0,0.0012267272220911091,924.7095890410999,1207.6438356162998,1143.15616438347,2823.1972602739897,4891.063013698561,28.49687380618214,12.937019815933462,2.417628527941623,29af0b30-a9d0-ec11-a9f8-b88303911bc1,Sahel,30,3,0
0,5980,3711,0,6412,0,0,0.17294395658897563,0.2564414346448561,0.32049779968977193,0.19275999857256587,0.2191783324503472,1.980628424044072,1.8255021463838974,1.3427984959744859,0.2851499242738884,0.8567548640270225,0.0021297079268490157,0.0008098944500094408,0.0,0.0,0.0004041296437325816,939.0958904109,1234.7287671232,1169.20000000005,2840.6109589041093,4948.906849315061,28.286501349959128,12.439570699387506,2.04105318762729,2aaf0b30-a9d0-ec11-a9f8-b88303911bc1,Sahel,30,4,0
