archetype,baseline_eir,scenario_number,iptsc_rdts_used,iptsc_drugs_used,cases_treated,severe_cases_treated,received_smc,received_ivermectin,received_primaquine,pfpr0_5,pfpr2_10,pfpr6_15,pfpr16_500,pfpr_all,clinical_incidence0_5,clinical_incidence2_10,clinical_incidence6_15,clinical_incidence16_500,clinical_incidence_all,severe_incidence0_5,severe_incidence2_10,severe_incidence6_15,severe_incidence16_500,severe_incidence_all,pop0_5,pop2_10,pop6_15,pop16_500,pop_all,avg_age,avg_age_clinical_cases,avg_age_severe_cases,Run_Number,cases_treated_BASELINE,clinical_incidence0_5_BASELINE,clinical_incidence2_10_BASELINE,clinical_incidence6_15_BASELINE,clinical_incidence16_500_BASELINE,clinical_incidence_all_BASELINE,frac_averted_clinical_0_5,frac_averted_clinical_2_10,frac_averted_clinical_6_15,frac_averted_clinical_16_500,frac_averted_clinical__all,cost.CHW,cost.RDT,cost.drug,cost.ACT,cost.smc,cost.facility,cost.severe,cost.bednet,cost.iver,cost.prim,cost.CHW.d,cost.RDT.d,cost.drug.d,cost.facility.d,cost.severe.d,cost.d,cost.smc.ref,cost.smc.low,cost.low,cost,drug_type,screen_type,interval,itn_coverage,hs_rate,within_school_coverage,out_of_school_rate,target_age_range,smc_on,ivermectin,primaquine,smc_age_range
Sahel,3,11,8598.6,2110.8,2750.2,0.0,7017.8,0.0,0.0,0.07269129881080695,0.12110654657295428,0.18022828983750694,0.1593131127980276,0.14690988220421117,0.775933873341861,1.0965883595929153,1.4108709255665455,0.5579185038563995,0.7984296129962191,0.0017866479240719736,0.0028094506352370264,0.002734263580707423,6.895600902997746e-05,0.0010249483252874174,1010.4646575343398,1282.61479452064,1173.5495890411803,2894.0520547945207,5078.066301370041,27.9067513853766,23.402223821793445,7.178820860788724,2.0,3328.0,0.8847608909733211,1.3341384464302355,1.7465627191633506,0.599671606229974,0.9223068826932227,0.12300161404256918,0.17805504928887608,0.19220139644204148,0.06962661219874754,0.13431242032507704,1561.9920000000002,5447.424,738.78,1897.638,9035.4175,26594.433999999997,317.199998528704,8680,0.0,0.0,1561.9920000000002,5447.424,738.78,26594.433999999997,317.199998528704,54272.8854985287,8923.92,9035.4175,54272.8854985287,54272.8854985287,SPAQ,IST,month,default,0.8,0.9,0.3,default,True,False,False,default
Sahel,10,11,8636.8,2928.2,3582.0,0.0,6647.4,0.0,0.0,0.12124885805187598,0.18540407549750346,0.2542819654188923,0.1885785926397092,0.19112371580060736,1.35176077259609,1.5975270162903572,1.6876158035851734,0.467108180209042,0.9378702794883489,0.002867608137725449,0.0016206836392114537,0.0008432084814407513,0.00014563627500708182,0.0008565161928983328,972.0186301370599,1236.08876712336,1186.1802739726202,2743.7309589041242,4901.929863013805,27.88690219178112,18.816471803734434,8.780686216378463,2.0,4071.2,1.4948663243292226,1.9099285017117182,2.116808187888894,0.5012260532089644,1.0857370677020752,0.09573133691224663,0.1635671100469888,0.20275449932558928,0.06806883397519332,0.13619023667183183,2166.868,5865.024,1024.87,2471.58,8558.5275,34637.94,256.19999839722,8680,0.0,0.0,2166.868,5865.024,1024.87,34637.94,256.19999839722,63661.009498397194,8396.56,8558.5275,63661.009498397194,63661.009498397194,SPAQ,IST,month,default,0.8,0.9,0.3,default,True,False,False,default
Sahel,30,11,8531.8,3512.4,4405.8,0.0,6348.8,0.0,0.0,0.1872527789964897,0.26818136317982694,0.3345933639753209,0.2013770815970961,0.23024564553090587,2.0983144329975425,2.11795629635766,1.8001380883941,0.31157408321211333,0.9985759549200836,0.005207256235172297,0.0024421478847578737,0.0012108134937320043,0.0,0.0012611734904806014,921.44767123288,1227.54684931504,1163.2975342465681,2831.855890410966,4916.6010958904135,28.44710210888302,13.15328979743964,4.827451900938507,2.0,4957.4,2.1951007392282382,2.4835573988656896,2.290565432671323,0.32555441252784767,1.1409297149649982,0.044091965576360845,0.14720863817160407,0.2141075462338016,0.042943141845876456,0.12476996451028695,2599.176,6210.048000000001,1229.34,3040.002,8174.08,42604.085999999996,378.199998956132,8680,0.0,0.0,2599.176,6210.048000000001,1229.34,42604.085999999996,378.199998956132,72914.9319989561,8213.9925,8174.08,72914.9319989561,72914.9319989561,SPAQ,IST,month,default,0.8,0.9,0.3,default,True,False,False,default
Sahel,100,11,8529.0,3823.0,5105.0,0.0,6260.4,0.0,0.0,0.25641477870857343,0.3446505797762948,0.3873459873541224,0.21175038349847294,0.26073427209562744,2.8827093877479166,2.5197203720972943,1.7559637779662034,0.20639883242818766,1.0607659154499378,0.008999263282214212,0.002842469011789534,0.0008728983450904104,0.0,0.0018672183910102128,911.7254794520599,1197.27616438358,1143.1868493151098,2874.818630136987,4929.730958904158,28.762025529737695,10.170552099709354,3.1375639628334437,2.0,5754.2,3.0291220037206896,2.996454932115617,2.3661310209441653,0.20735004477076932,1.2220807525511024,0.04833500129507278,0.1590995262130404,0.25787550967253065,0.00458747112224284,0.13200014546045233,2829.02,6544.32,1338.05,3522.45,8060.265,49365.35,561.200001322135,8680,0.0,0.0,2829.02,6544.32,1338.05,49365.35,561.200001322135,80900.6550013221,7984.045,8060.265,80900.6550013221,80900.6550013221,SPAQ,IST,month,default,0.8,0.9,0.3,default,True,False,False,default
Sahel,1,12,0.0,6213.2,1230.6,0.0,6731.8,0.0,0.0,0.028487422393900425,0.055176832763456016,0.08584587203624428,0.08992282333403434,0.07708809420894305,0.312758619610792,0.4498741279306625,0.5851737172381014,0.3845695727177629,0.41956855504862467,0.0006126053341602041,0.0006236767447774287,0.000491430068058587,0.0,0.00023924626725378787,966.49643835612,1278.1852054793799,1220.9583561643399,2829.0147945205076,5016.469589040967,27.840433993423254,26.652519695865767,6.874598020794396,2.0,2337.6,0.5282331924142645,0.9297031627979198,1.3083411731610775,0.5877366518496497,0.7522148382926931,0.40791562495089767,0.5161099306398217,0.5527361446370554,0.34567706215446214,0.442222442725376,4597.768,590.688,13296.248,849.1139999999999,8667.1925,11899.902,73.1999997158363,8680,0.0,0.0,4597.768,590.688,13296.248,11899.902,73.1999997158363,48654.112499715804,8654.06,8667.1925,48654.112499715804,48654.112499715804,DP,IPT,term,default,0.8,0.9,0.0,default,True,False,False,default
Sahel,3,12,0.0,5982.6,1923.4,0.0,6904.0,0.0,0.0,0.05805585398481759,0.1015705031580719,0.15299346800318586,0.13351556899469882,0.12313206115246231,0.6373625361174197,0.7737315629509981,0.8849338965004115,0.45700627087442414,0.5919816209729966,0.0016124318114323984,0.000623359964467232,0.00017092695489409274,0.00020902563350417598,0.00047620524047192807,997.6197260274599,1282.31123287676,1172.7627397259998,2878.2065753424786,5048.589041095938,27.95593615387108,24.3990372342989,9.80333123927244,2.0,3328.0,0.8847608909733211,1.3341384464302355,1.7465627191633506,0.599671606229974,0.9223068826932227,0.2796217117867176,0.42005152087380615,0.4933283031918155,0.2379057702139022,0.3581511402751819,4427.124,923.232,12802.764,1327.146,8888.9,18599.278000000002,146.400001435251,8680,0.0,0.0,4427.124,923.232,12802.764,18599.278000000002,146.400001435251,55794.844001435304,8923.92,8888.9,55794.844001435304,55794.844001435304,DP,IPT,term,default,0.8,0.9,0.0,default,True,False,False,default
Sahel,10,12,0.0,6013.6,2484.2,0.0,6582.0,0.0,0.0,0.10253332885212325,0.16287333462707648,0.22104714951399,0.16412940310335042,0.16577468529501216,1.1506281645217067,1.186136296402422,1.0443217651697931,0.40644968143241034,0.707483670349672,0.003124670032064947,0.0017804822441035875,0.00016958877788950946,0.0,0.0006558722766102124,961.63013698632,1232.6542465753798,1182.110136986322,2737.170958904104,4880.911232876746,27.93354737740059,19.838553057564038,4.516600899712583,2.0,4071.2,1.4948663243292226,1.9099285017117182,2.116808187888894,0.5012260532089644,1.0857370677020752,0.23028022921178767,0.3789629845623113,0.5066526239152062,0.18908907701380237,0.3483839767513542,4450.064,1192.4160000000002,12869.104,1714.098,8474.325,24022.214,195.20000072042598,8680,0.0,0.0,4450.064,1192.4160000000002,12869.104,24022.214,195.20000072042598,61597.4210007204,8396.56,8474.325,61597.4210007204,61597.4210007204,DP,IPT,term,default,0.8,0.9,0.0,default,True,False,False,default
Sahel,30,12,0.0,5952.0,3171.0,0.0,6349.4,0.0,0.0,0.15756540343720368,0.23369856629811075,0.2863532591737777,0.17751765217680457,0.1992944075906907,1.7506537546127414,1.5418850966600914,1.0208186352509325,0.2612619823916377,0.7204947740393278,0.006651105369667796,0.0019709889076758116,0.0005209615910837181,0.0,0.0013803462763868663,928.4202739725799,1219.7336986301998,1155.2668493151039,2838.5030136986165,4922.190136986302,28.422837931462368,13.94967061495944,3.1377955744439,2.0,4957.4,2.1951007392282382,2.4835573988656896,2.290565432671323,0.32555441252784767,1.1409297149649982,0.20247224952953966,0.3791626892278336,0.5543377103790375,0.1974859736564327,0.36850205180129664,4404.48,1522.08,12737.28,2187.99,8174.8525,30663.57,414.79999726704,8680,0.0,0.0,4404.48,1522.08,12737.28,30663.57,414.79999726704,68785.052497267,8213.9925,8174.8525,68785.052497267,68785.052497267,DP,IPT,term,default,0.8,0.9,0.0,default,True,False,False,default
Sahel,100,12,0.0,5915.6,3907.6,0.0,6237.0,0.0,0.0,0.2304318453882621,0.313673965050966,0.3453795847203772,0.19551077431329272,0.23687272324319428,2.5832725862870416,1.9103436155697557,0.9577801012670939,0.1838959667358732,0.8022554366407993,0.00782536442987801,0.002670856489862505,0.00034871500688013127,0.0,0.0015054490475618892,896.87287671232,1199.6728767123,1147.658082191754,2871.30027397259,4915.831232876664,28.830332639703848,10.081318811303504,3.1490924847809407,2.0,5754.2,3.0291220037206896,2.996454932115617,2.3661310209441653,0.20735004477076932,1.2220807525511024,0.14718767249586132,0.3624654270301417,0.5952125673560935,0.11311344572327053,0.34353320354151284,4377.544,1875.648,12659.383999999998,2696.244,8030.1375,37786.492,451.39999753602007,8680,0.0,0.0,4377.544,1875.648,12659.383999999998,37786.492,451.39999753602007,76556.849497536,7984.045,8030.1375,76556.849497536,76556.849497536,DP,IPT,term,default,0.8,0.9,0.0,default,True,False,False,default
Sahel,1,13,0.0,5333.0,1430.6,0.0,6674.2,0.0,0.0,0.03310567118164122,0.06658993725575141,0.10601500893649804,0.10328526138056285,0.09042299403135243,0.37833856820699496,0.5600263849177227,0.7255070072802376,0.43327808652490774,0.49379270969483546,0.000615626346470575,0.0006249836497843883,0.0004941797327698494,0.00014143821015335899,0.0003199244090206212,963.6471232876399,1278.4482191781,1217.2926027397998,2820.7364383561667,5001.676164383606,27.846766214142384,27.557665202204902,11.557896147942511,2.0,2337.6,0.5282331924142645,0.9297031627979198,1.3083411731610775,0.5877366518496497,0.7522148382926931,0.28376600781594835,0.3976288267834472,0.44547567395793003,0.2628023364523035,0.3435482995581422,3946.42,686.688,11412.62,987.1139999999999,8593.0325,13833.902,97.60000018744681,8680,0.0,0.0,3946.42,686.688,11412.62,13833.902,97.60000018744681,48237.376500187405,8654.06,8593.0325,48237.376500187405,48237.376500187405,DP,IPT,term,default,0.8,0.9,0.15,default,True,False,False,default
Sahel,3,13,0.0,5185.0,2133.8,0.0,6981.0,0.0,0.0,0.06160858629995686,0.10906936127818889,0.16481137491918132,0.141249192913968,0.13071896019416882,0.6673199606159707,0.8589152673780607,1.0116870157252795,0.4911556516323145,0.6473558520238145,0.0019586325134700122,0.0004679367350044044,0.00016986579900914178,0.0,0.00043333528197390063,1017.7567123287399,1281.70410958902,1175.17479452056,2871.6542465753255,5064.585753424626,27.801595592643043,24.547754684173253,3.539768661645377,2.0,3328.0,0.8847608909733211,1.3341384464302355,1.7465627191633506,0.599671606229974,0.9223068826932227,0.24576236650576266,0.35620229693832234,0.42075540452970156,0.18095896732526567,0.29811230494835445,3836.9,1024.224,11095.9,1472.3220000000001,8988.0375,20633.846,134.199998022909,8680,0.0,0.0,3836.9,1024.224,11095.9,20633.846,134.199998022909,55865.4294980229,8923.92,8988.0375,55865.4294980229,55865.4294980229,DP,IPT,term,default,0.8,0.9,0.15,default,True,False,False,default
Sahel,10,13,0.0,5160.2,2734.0,0.0,6565.4,0.0,0.0,0.1081549570913131,0.17246491002852796,0.23833480482565,0.1698833708455421,0.17433200046888742,1.1935441323165858,1.2959607798418737,1.2125217996937354,0.4230459680302799,0.7640276791267474,0.003957691298147431,0.0017990411110308364,0.0005094111833213705,0.0,0.0008993529354742033,954.8065753424801,1224.0668493150802,1179.1358904109861,2752.6219178082265,4886.564383561692,28.05205260721889,19.121138998349352,4.427949357603183,2.0,4071.2,1.4948663243292226,1.9099285017117182,2.116808187888894,0.5012260532089644,1.0857370677020752,0.20157132922761256,0.3214611025070277,0.42719335335574693,0.15597769644685794,0.29630506146042757,3818.548,1312.32,11042.828000000001,1886.46,8452.9525,26437.78,268.400000168705,8680,0.0,0.0,3818.548,1312.32,11042.828000000001,26437.78,268.400000168705,61899.2885001687,8396.56,8452.9525,61899.2885001687,61899.2885001687,DP,IPT,term,default,0.8,0.9,0.15,default,True,False,False,default
Sahel,30,13,0.0,5137.0,3435.0,0.0,6367.2,0.0,0.0,0.16381704899579602,0.24716768821995813,0.305604438542263,0.18371148868840348,0.20871434749487672,1.8519997169854652,1.6892727525368874,1.1807009697363884,0.2715685514563937,0.7823297287542846,0.0047497325476553495,0.0022910905961187537,0.00017237756131662673,0.0,0.0009361456654069983,921.75616438356,1220.42794520554,1158.639452054846,2834.6860273972625,4915.081643835669,28.4689534557518,13.807253978598435,4.104634136604122,2.0,4957.4,2.1951007392282382,2.4835573988656896,2.290565432671323,0.32555441252784767,1.1409297149649982,0.15630308719380315,0.3198173099166439,0.4845373317454542,0.16582745923259778,0.3143050632367085,3801.38,1648.8,10993.18,2370.15,8197.77,33216.45,280.600001910225,8680,0.0,0.0,3801.38,1648.8,10993.18,33216.45,280.600001910225,69188.3300019102,8213.9925,8197.77,69188.3300019102,69188.3300019102,DP,IPT,term,default,0.8,0.9,0.15,default,True,False,False,default
Sahel,100,13,0.0,5102.4,4165.6,0.0,6174.6,0.0,0.0,0.23647599894344196,0.3268324468274994,0.36662321469492876,0.19802571549191866,0.24450881130816474,2.671946610030075,2.066650722257089,1.138861528146767,0.1890004865212967,0.8631408750657241,0.008529938079141772,0.0031630335920405663,0.00034973276931434005,0.0,0.0016299371647562136,893.78191780822,1201.80821917812,1150.804383561718,2869.032876712321,4913.619178082259,28.852822853557647,10.134504373436133,3.2519542953548117,2.0,5754.2,3.0291220037206896,2.996454932115617,2.3661310209441653,0.20735004477076932,1.2220807525511024,0.11791383551137716,0.31030141648152515,0.5186819672850055,0.08849555962121215,0.2937120781389353,3775.776,1999.4879999999998,10919.136,2874.264,7949.7975,40281.352,487.999992063939,8680,0.0,0.0,3775.776,1999.4879999999998,10919.136,40281.352,487.999992063939,76967.8134920639,7984.045,7949.7975,76967.8134920639,76967.8134920639,DP,IPT,term,default,0.8,0.9,0.15,default,True,False,False,default
Sahel,1,14,0.0,4440.2,1650.4,0.0,6643.4,0.0,0.0,0.03878165059686306,0.07514335746069187,0.11880497645569954,0.11408136053345022,0.10080891299347956,0.4230520007241011,0.6144729090503324,0.8397817242875412,0.46724078928202245,0.5495885175928082,0.0010434583039273474,0.000940573872330961,0.0008228702144896808,0.00035465393826170143,0.0006008637110830179,956.85972602744,1275.5791780822399,1217.83342465746,2820.572054794511,4995.265205479411,27.85100925395029,28.034360495913326,13.143183048614892,2.0,2337.6,0.5282331924142645,0.9297031627979198,1.3083411731610775,0.5877366518496497,0.7522148382926931,0.19911886114054625,0.33906548494350536,0.3581324645936593,0.20501675740047537,0.2693729376035537,3285.748,792.192,9502.028,1138.776,8553.3775,15959.368,183.00000104886902,8680,0.0,0.0,3285.748,792.192,9502.028,15959.368,183.00000104886902,48094.4895010489,8654.06,8553.3775,48094.4895010489,48094.4895010489,DP,IPT,term,default,0.8,0.9,0.3,default,True,False,False,default
