"","baseline_eir","scenario_number","archetype","drug_type","Scenario","cost.CHW","cost.RDT","cost.drug","cost.ACT","cost.smc","cost.facility","cost.severe","cost.bednet","cost.iver","cost.prim","cost.CHW.d","cost.RDT.d","cost.drug.d","cost.facility.d","cost.severe.d","cost.d","cost.smc.ref","cost.smc.low","cost.low","cost","cases"
"21",1,40,"Southern","DP","Southern_40_1",5194.66686796301,334.76010488195,1409.84209635672,149.183398132347,0,6301.8413238094,166.270697671402,13691.520443361,0,0,5194.66686796301,334.76010488195,1409.84209635672,6301.8413238094,166.270697671402,27248.0849321759,0,0,27248.0849321759,27248.0849321759,1797.20000235912
"22",1,49,"Southern","DP","Southern_49_1",2504.66465133071,492.718305329124,680.956720999792,220.261623649433,0,9475.83648300443,239.732468864496,13691.520443361,0,0,2504.66465133071,492.718305329124,680.956720999792,9475.83648300443,239.732468864496,27305.690696539,0,0,27305.690696539,27305.690696539,2017.39999722389
"23",1,42,"Central","None","Central_42_1",0,592.029825294219,0,263.788293993059,0,11161.422356544,1892.23170765129,13691.520443361,0,0,0,592.029825294219,0,11161.422356544,1892.23170765129,27600.9926268437,0,0,27600.9926268437,27600.9926268437,7228.60000060928
"24",1,19,"Southern","DP","Southern_19_1",516.005014758466,2657.83333527546,139.749255385948,239.811823885614,0,10261.8443042247,130.782501789242,13691.520443361,0,0,516.005014758466,2657.83333527546,139.749255385948,10261.8443042247,130.782501789242,27637.5466786805,0,0,27637.5466786805,27637.5466786805,2182.6000002531
"25",30,42,"Southern","None","Southern_42_30",0,561.173860651831,0,249.85008599441,0,10597.4986644928,2580.0680408985,13691.520443361,0,0,0,561.173860651831,0,10597.4986644928,2580.0680408985,27680.1110953986,0,0,27680.1110953986,27680.1110953986,5755.20000238255
"26",1,36,"Southern","DP","Southern_36_1",5149.32015616824,339.347686240664,1396.45202519203,151.19804631155,0,6430.64391172471,81.671760121007,13691.520443361,279.050863225527,242.442955861211,5149.32015616824,339.347686240664,1396.45202519203,6430.64391172471,81.671760121007,27761.647848206,0,0,27761.647848206,27761.647848206,1349.60000024312
"27",1,18,"Southern","DP","Southern_18_1",580.169725337881,2965.01204757691,157.392724849669,235.35353699528,0,10020.9471236182,252.665541060597,13691.520443361,0,0,580.169725337881,2965.01204757691,157.392724849669,10020.9471236182,252.665541060597,27903.0611427996,0,0,27903.0611427996,27903.0611427996,2526.00000424482
"28",1,14,"Southern","DP","Southern_14_1",4243.60860760361,423.231461375914,1150.7860718584,188.897020934738,0,8035.19018368348,270.141773155775,13691.520443361,0,0,4243.60860760361,423.231461375914,1150.7860718584,8035.19018368348,270.141773155775,28003.375561973,0,0,28003.375561973,28003.375561973,1677.39999697492
"29",3,42,"Central","None","Central_42_3",0,620.855332544117,0,276.535524964208,0,11739.0915323284,1804.35148973207,13691.520443361,0,0,0,620.855332544117,0,11739.0915323284,1804.35148973207,28132.3543229298,0,0,28132.3543229298,28132.3543229298,7099.19999102482
"30",1,20,"Southern","DP","Southern_20_1",448.003646426754,2320.25749043933,122.7016684888,254.920401741764,0,10884.5410644474,449.942757163702,13691.520443361,0,0,448.003646426754,2320.25749043933,122.7016684888,10884.5410644474,449.942757163702,28171.8874720688,0,0,28171.8874720688,28171.8874720688,2499.39999524356
"31",1,50,"Southern","DP","Southern_50_1",1303.4071669227,621.371099408585,354.022617201935,276.736425861381,0,11805.1122416761,406.805160406456,13691.520443361,0,0,1303.4071669227,621.371099408585,354.022617201935,11805.1122416761,406.805160406456,28458.9751548382,0,0,28458.9751548382,28458.9751548382,2541.00000323112
"32",1,24,"Southern","DP","Southern_24_1",5207.58775829273,197.408815377243,1413.66017768946,88.3976161750736,0,3873.74775031738,104.257850954552,17603.3834271785,0,0,5207.58775829273,197.408815377243,1413.66017768946,3873.74775031738,104.257850954552,28488.4433959849,0,0,28488.4433959849,28488.4433959849,912.599999053154
"33",1,31,"Southern","None","Southern_31_1",0,533.632891726416,0,238.026868852881,0,10097.4374848212,233.604892536032,17603.3834271785,0,0,0,533.632891726416,0,10097.4374848212,233.604892536032,28706.085565115,0,0,28706.085565115,28706.085565115,2581.60000098736
"34",1,13,"Southern","DP","Southern_13_1",5143.0590930329,411.801976374379,1395.32661075447,183.462339756366,0,7829.61469775055,138.552848666164,13691.520443361,0,0,5143.0590930329,411.801976374379,1395.32661075447,7829.61469775055,138.552848666164,28793.3380096959,0,0,28793.3380096959,28793.3380096959,1855.00000196366
"35",1,12,"Southern","DP","Southern_12_1",5957.76807559749,370.936790980159,1617.0207491695,165.226075153644,0,6939.15761477887,199.696488600434,13691.520443361,0,0,5957.76807559749,370.936790980159,1617.0207491695,6939.15761477887,199.696488600434,28941.3262376411,0,0,28941.3262376411,28941.3262376411,1665.00000266854
"36",1,46,"Southern","DP","Southern_46_1",5957.76807559749,370.936790980159,1617.0207491695,165.226075153644,0,6939.15761477887,199.696488600434,13691.520443361,0,0,5957.76807559749,370.936790980159,1617.0207491695,6939.15761477887,199.696488600434,28941.3262376411,0,0,28941.3262376411,28941.3262376411,1665.00000266854
"37",10,38,"Southern","DP","Southern_38_10",5134.26873088356,353.409089176942,1393.22381613895,157.372235313903,0,6686.52068062491,1545.60914838892,13691.520443361,0,0,5134.26873088356,353.409089176942,1393.22381613895,6686.52068062491,1545.60914838892,28961.9241438882,0,0,28961.9241438882,28961.9241438882,3819.79999006584
"38",3,43,"Southern","None","Southern_43_3",0,685.083550225815,0,305.178996843565,0,12943.6891842834,1541.03162144901,13691.520443361,0,0,0,685.083550225815,0,12943.6891842834,1541.03162144901,29166.5037961628,0,0,29166.5037961628,29166.5037961628,4313.59999575276
"39",1,47,"Southern","DP","Southern_47_1",4842.45894952954,450.437009851583,1313.93585153319,200.880287573464,0,8526.04959305662,166.092268618487,13691.520443361,0,0,4842.45894952954,450.437009851583,1313.93585153319,8526.04959305662,166.092268618487,29191.3744035239,0,0,29191.3744035239,29191.3744035239,1974.59999866145
"40",1,45,"Southern","None","Southern_45_1",0,753.206890953651,0,335.369592590087,0,14275.3956228448,345.118651601016,13691.520443361,0,0,0,753.206890953651,0,14275.3956228448,345.118651601016,29400.6112013506,0,0,29400.6112013506,29400.6112013506,2754.60000183422
"41",1,51,"Southern","DP","Southern_51_1",1143.8436150709,673.036400554391,309.404802792508,299.720764553058,0,12784.2391646475,505.979067057354,13691.520443361,0,0,1143.8436150709,673.036400554391,309.404802792508,12784.2391646475,505.979067057354,29407.7442580367,0,0,29407.7442580367,29407.7442580367,2972.80000186206
"42",1,7,"Southern","ASAQ","Southern_7_1",575.584777888649,2751.67452376223,367.656614048522,286.82763289308,0,12175.157113319,261.349082471661,13691.520443361,0,0,575.584777888649,2751.67452376223,367.656614048522,12175.157113319,261.349082471661,30109.7701877442,0,0,30109.7701877442,30109.7701877442,2712.80000446888
"43",1,6,"Southern","ASAQ","Southern_6_1",647.178955322494,3051.30246560807,415.523301562728,276.6126030302,0,11668.9990119361,474.97360057731,13691.520443361,0,0,647.178955322494,3051.30246560807,415.523301562728,11668.9990119361,474.97360057731,30226.110381398,0,0,30226.110381398,30226.110381398,2787.40000411091
"44",100,42,"Southern","None","Southern_42_100",0,663.028513695655,0,295.322560521959,0,12502.3976445773,3344.02580270644,13691.520443361,0,0,0,663.028513695655,0,12502.3976445773,3344.02580270644,30496.2949648624,0,0,30496.2949648624,30496.2949648624,6156.19998206252
"45",1,38,"Central","DP","Central_38_1",5240.49541462702,451.260452733832,1421.68934942365,200.963789789207,0,8518.86005236127,1177.709525684,13691.520443361,0,0,5240.49541462702,451.260452733832,1421.68934942365,8518.86005236127,1177.709525684,30702.49902798,0,0,30702.49902798,30702.49902798,5539.39999244137
"46",3,38,"Central","DP","Central_38_3",5091.84779991559,469.210213969573,1381.6954111589,209.041168363422,0,8861.15511392204,1099.2226036221,13691.520443361,0,0,5091.84779991559,469.210213969573,1381.6954111589,8861.15511392204,1099.2226036221,30803.6927543126,0,0,30803.6927543126,30803.6927543126,5320.79998707001
